,Unnamed: 0,username,description,location,following,followers,totaltweets,retweetcount,text
37,37,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,0,"@OnlineGuru_ Dear Nigerians 🇳🇬,
@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This's a big selling point. Preach this gospel.
@AJ_Ibekwem"
38,38,ogazigbo,a Peace maker,,523,335,557,0,"@DrOkaforEmmanu1 If there will be election, Atiku will not near second position. You guys are just making noise without calculation PDP has already lost 25% of SE, SS, SW. NC will be sheared by all the parties then NE,NW is  unsure for any particular party. So PDP is wasting time with Atiku"
39,39,LifeOfEnglio,I would like to apologize to anyone I have not offended for PeterObi. Please be patient. I will get to you shortly. Student of Life🌴🌊 Emotionally enlightened.,Somwhere in the Universe ,337,164,1359,1185,"In July 2018, Joe Blankson swam 13 times and rescued 13 people out of 25 people involved in a boat accident in Rivers State.

On his 14th attempt, he got exhausted and drowned.

Retweet this hero

| NYSC chioma Nigerians Ezra Tunde Dubai seyi Tinubu mayor church Anambra atiku | https://t.co/jPg3sO61RT"
40,40,TKolinz,Song writer|Rapper|Enthusiast |Overthinker| Chelseafan|Content Creator|DM for ADs &Promotions||Pocket friendly Gig||You loose when you ran away from loosing|,Every party and gatherings ,3539,3542,77408,30,Season 2 of House of Dragon is coming out in 2024. Which kind wickedness is that? A whole 2 years? By that time Peter Obi has celebrated one year in office while Tinubu and Atiku will be dragging from one court to the other. Nawao
41,41,Olivia87837833,just me no pretence,,37,0,7,1185,"In July 2018, Joe Blankson swam 13 times and rescued 13 people out of 25 people involved in a boat accident in Rivers State.

On his 14th attempt, he got exhausted and drowned.

Retweet this hero

| NYSC chioma Nigerians Ezra Tunde Dubai seyi Tinubu mayor church Anambra atiku | https://t.co/jPg3sO61RT"
42,42,obidientgangs,Media and Publicity Volunteer group for Peter Obi's Presidential race | Join us & follow | up P.O ! | uppovolunteers@gmail.com,Nigeria,48,5,143,0,@john07jay @atiku Propaganda! This is the man who knows Atiku better than any one else as far as national politics is concerned. Hear Him: https://t.co/EZJV5PjDYf
43,43,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,1,"@NgLabour @PeterObi @YunusaTanko @aburechambers @Kennedy4Aha Dear Nigerians 🇳🇬,
@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This's a big selling point. Preach this gospel.
@AJ_Ibekwem"
44,44,Kysburnguinea,Fashion model & a food lover.     I’m OBIDIENT & YUSUF TO THE CALL 🤭❤️,"London, England",479,326,993,1185,"In July 2018, Joe Blankson swam 13 times and rescued 13 people out of 25 people involved in a boat accident in Rivers State.

On his 14th attempt, he got exhausted and drowned.

Retweet this hero

| NYSC chioma Nigerians Ezra Tunde Dubai seyi Tinubu mayor church Anambra atiku | https://t.co/jPg3sO61RT"
45,45,somto_njoku,N.O -08/07/18 (RIP)👼. LLB LPC👨🏽‍🎓 apex legends 😇😇  6’5,"Manchester, lagos  ",1251,1806,92216,49,'Atiku urinated on graves of those killed by herdsmen in Ukum' - Benue youths https://t.co/0coSu0Ovza
46,46,EMMANDU7,Emmanuel Dike; A Chartered Accountant:  Travel Consultant.,,601,147,809,0,"Look around H.E Atiku A and Asiwaju T, what do you see? The same people dat plunged Nigeria into economic woes. Dey hv gathered again to deceive Nigerians. If you refused to listen, they will bring out money to buy your conscience and future. Do you really want to die in poverty?"
47,47,Zayyan_ubandoma,"Hal jaza’ul ihsan Illal ihsan...👏.. Madridsta 👍. Biologist. PDP member, Atiku’s supporter, Director North central #AtikuKawai. Retweets are endorsement",Global Citizen ,1315,2901,50472,3,"ATTENTION!!!
This is to call attention of the support groups to quickly respond in the procedures provided below ⬇️ 👇🏼 
In other to be carried along in the onerous task of mobilizing Nigerians to ensure that our principal @atiku elected. 

-@SenBaraka 
Director of support groups https://t.co/kloQ6Tq66K"
48,48,BankMinister,A Foundational Nigerian | Pissed at all 'em bad Politicians | Manchester United/Leo Messi Fan | Looking to meet people with ideas to move Nigeria & Africa 4ward,,1383,1270,6665,163,"Is there ONE PERSON who now supports Atiku because of anything Reno Omokri said about him?

Very doubtful.

But I can bet that there are many who now detest Atiku because of Reno's antics."
49,49,its_JIM_,Jesus Freak || Realtor || Graphic & Website Designer || DMCA || Graduate Student || ‘upcoming Influencer’ 😜 Likes' and/or 'Reweets' not endorsements.,,422,417,2018,1185,"In July 2018, Joe Blankson swam 13 times and rescued 13 people out of 25 people involved in a boat accident in Rivers State.

On his 14th attempt, he got exhausted and drowned.

Retweet this hero

| NYSC chioma Nigerians Ezra Tunde Dubai seyi Tinubu mayor church Anambra atiku | https://t.co/jPg3sO61RT"
50,50,Zayyan_ubandoma,"Hal jaza’ul ihsan Illal ihsan...👏.. Madridsta 👍. Biologist. PDP member, Atiku’s supporter, Director North central #AtikuKawai. Retweets are endorsement",Global Citizen ,1315,2901,50472,96,"Atiku has released his policy document and he has been on Arise TV/Public  to talk about the plans.

Tinubu has released his manifestos but yet to talk about th contents. The last time he tried to talk about his plans in Public, he ended up speaking in parables."
51,51,chiefsis2,Am a person that believe in truth nothing but the truth. One Nigeria.,"Dukku, Nigeria",479,121,1587,49,"Who else noticed, Atiku is still not sellable in the North even after being in POLITICs for over 3 decades?"
52,52,RadioApprentice,Poet | Writer | Podcast Host @oralvaultradio🎙| Communications Strategist | Jack of all friends master of the bests 😁| IG: Radio_Apprentice,,3202,3505,1600,0,"I chose politics for this week, because I would like to discuss some people’s manifesto 😁!! Click to watch full clip https://t.co/Y6UvkU0COW | 2023Elections |

|Atiku|Tinubu|Wike|Obi|Obidents|2023polls https://t.co/h3MEZd9HDq"
53,53,Zayyan_ubandoma,"Hal jaza’ul ihsan Illal ihsan...👏.. Madridsta 👍. Biologist. PDP member, Atiku’s supporter, Director North central #AtikuKawai. Retweets are endorsement",Global Citizen ,1315,2901,50472,96,"Nyesom Wike saying Atiku disrespected him is just a hoax. The man  has been trying to pacify you since June, you expect him to put his campaign on hold because of your self seeking ego? Atiku and the PDP has moved on."
54,54,LordMayor08,Simplicity and Humility in Our Lord Jesus Christ keeps me going!,"Lagos, Nigeria",1600,566,14065,4,Rishi Sunpak has just made it to become the UK Prime Minister at the age of 42. But crazy Nigerians are defending their stupid idea of bringing relics; BAT &amp; Atiku into power. I think we need supersonic deliverance in Nigeria. People who like good results but hate d path to it
55,55,shafeeutrt,"Chemist/Politics/Classroom Teacher/ Soil doctor/Young leader at OCPAfrica. A husband, father and more...",Just living,2642,5132,30190,100,"If you believe Atiku Abubakar will emerge as the next President of Nigeria Retweet let's follow you quickly and follow back

✌🏼✌🏼✌🏼✌🏼✌🏼✌🏼"
56,56,Julio95448951,I am who I am. What you think is none of my business and irrelevant.ObiDient to the core… In love with Real Madrid CF,,243,376,4200,0,@MyksonDosSantos @YarKafanchan Engaging you was a mistake. So consulting Ortom concerning the floods that ravaged Benue states where your tribal bigot Atiku couldn’t even visits . Guy go to bed engaging you was a mistake because you sound lost . How I wish you fought&amp;defended goodluck like this in 2015 clowns
57,57,Odogwu_priest,"Memories remind us that nothing last forever, you can be happy today and sad tomorrow. Time is precious and should not be wasted. Enjoy life.😌","Achnasaul, Scotland",2155,872,20116,688,"“Atiku is not only unfit now, he’s now a threat to our democracy” — @realkenokonkwo Kenneth Okonkwo gives Atiku the Randy Orton smackdown finishing 🙆🏾‍♂️ https://t.co/kJiSsjTFl9"
58,58,BanksTariq,"...Best gift to Humanity hence compel and humble to always give back: Business Analyst, Journalist, Policy & Public Analyst, Progressive fairer society advocate",UK,1672,182,2655,46,"3: let us share this good news: @officialABAT @atiku @PeterObi @ARISEtv @abati1990 @thecableng @ruffydfire @PremiumTimesng tag the rest Financial correspondents, financial experts, local business TV small boy experts etc"
59,59,TroyesDave,Just me,"Tutong, Brunei ",86,73,2785,43,"Failure is not a Person, its an Event! Never say Never when Greatness is calling on You to Rise and Shine! You will Succeed 💕

Christ Jesus / Ikoyi / Abati / Atiku / Seyi Tinubu / Kenneth Okonkwo / Rivers #Cheating / Oba of Benin / Sabinus / Iran https://t.co/KmlOfL7l8A"
60,60,daclemx,"The ""Neck Presser"" Is Back!!!! Youths, Vote Wisely 2023. Vote Peter Obi for President. If you make wrong choice, Dollar will be #2K/$1. Abi suffer neva tire U?",Earth,856,554,9121,0,"@fkeyamo SHAME no dey catch you? This was you..same u..Chai, what money cannot do

#Vote HE Peter Obi Obaseki Horny of Ife Olosho Abati Rufai Bola Tinubu Seyi Tinubu Atiku Northerners Arewa Muslim President Buhari Flood INEC PVCs Edo State Oba of Benin Seun MarryHer Jesus Christ https://t.co/X4CV2byRvE"
61,61,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,0,"Dear Nigerians 🇳🇬,

@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This is a big selling point. Preach this gospel.
@ARISEtv"
62,62,Raschid_bwhizzy,"|Poet| #Cryptoenthusiast |FunaabAlumni|MUFC|IG: @Capitall_collections| A god,my name's all've got yet the richest. shop TOD merch link↓↓","England, United Kingdom",1719,2188,63728,58,"I wish the world can hear my voice, I’d keep pushing till I get to the top by Gods grace 🥹🙏🏿

Please help me with a RT ❤️😊

#wizkid #burna #machala #tems #bigwiz #kizzdaniel #peterobi #rinu #tinubu #atiku #drake https://t.co/VRwYJKUUrY"
63,63,eaglenuel,"GOD'S OWN, HUSBAND, FATHER, BUSINESS, AND POLITICS. I follow back.",Map it,519,665,66485,8,Atiku and PDP will empty APC at this rate. https://t.co/kx8PbVehC1
64,64,kleftunes,"Music Producer🎶 |Mix Engineer🎛️  I don’t LEND or GIVE people MONEY, I don’t buy DATA for people, If I see the text, I’ll read and not reply😁  +2349011683674",Nigeria,1726,1411,33312,470,"Na only @PeterObi talk nai people no dey need interpret but when Atiku and Tinubu talk, an ancient Egyptian Sophists from 22 BC nai them dey summon to come interpret for us. Osanobua, lahor wowo o 😩😩🤣"
65,65,wizkidvoice,Everything @wizkidayo. @Manutd,🌟 STARBOY 🌹,439,841,55123,95,"Dearest OBIdients

We will not run out of steam! We are all over the place: social media, offices, streets, markets, churches, mosques and schools. The truth is, dem dey fear us! Keep up with the good work!

Obaseki Atiku Kano Abati Ashawo Enugu Cheating Sabinus Kenneth Okonkwo"
66,66,PabloNaija,Up,,54,40,230,755,"Wike Reveals Why Atiku Is Not On Rivers Campaign Poster

The Governor of Rivers State, Nyesom Wike, has revealed why he removed the picture of the presidential candidate of the Peoples Democratic Party, Abubakar Atiku, from the Rivers State campaign poster. https://t.co/sI3YGcdeWj"
67,67,iam_rokeslim,I tweet when necessary.,"Abuja, Nigeria",868,668,3314,0,I doubt that BAT and Atiku will survive Rufia's drilling. And that's if they don't attend through spokes persons. #Nigeria #VoteWisely #PeterObiForPresident
68,68,Odogwu_priest,"Memories remind us that nothing last forever, you can be happy today and sad tomorrow. Time is precious and should not be wasted. Enjoy life.😌","Achnasaul, Scotland",2155,872,20116,441,"Kenneth Okonkwo takes no prisoners 😂😂. That rally must have been one of the reasons Atiku slumped. It's now obvious to him that he is going to lose for the 6th time. Obidients are everywhere e go shock them 🔥🔥🔥
https://t.co/fZpcsURpvz"
69,69,Zayyan_ubandoma,"Hal jaza’ul ihsan Illal ihsan...👏.. Madridsta 👍. Biologist. PDP member, Atiku’s supporter, Director North central #AtikuKawai. Retweets are endorsement",Global Citizen ,1315,2901,50472,39,Atiku is the next President of Nigeria. Your periodic reminder. *Manifesting*
70,70,JemilaEA,"When the time is right.

                                                    Subscribe to my #YouTube. link below...

@KitchenClatters #MUFC","Surrey, British Columbia",1056,4452,311920,43,"Wike vows Rivers will not campaign, vote for Atiku in 2023 

https://t.co/Vbr1FNEYnu"
71,71,peterObiBot001,"All we want is a country on the path of growth and development, where the Judiciary are independent and her political leaders are accountable to the citizens.","Lagos, Nigeria",23,1216,47172,1,"In about 2 months now, Peter Obi will join forces with Atiku and #Obidients will wail and cry. The sole aim of PDP and LP is to grab power after they lost it in 2015🤣🤣🤣. Vote Sowore for a better Nigeria

Seyi Tinubu Bolt Range Rover Wike #Davido Kenneth Okonkwo"
72,72,ADOS_Omeiza,"God lover Dog lover Game lover, upcoming tech guy 😎... #EndSars #EndPoliceBrutality #EndBadGovernance",,153,109,4734,441,"Kenneth Okonkwo takes no prisoners 😂😂. That rally must have been one of the reasons Atiku slumped. It's now obvious to him that he is going to lose for the 6th time. Obidients are everywhere e go shock them 🔥🔥🔥
https://t.co/fZpcsURpvz"
73,73,SpeedyFloater,,Nigeria,53,41,760,1,"In about 2 months now, Peter Obi will join forces with Atiku and #Obidients will wail and cry. The sole aim of PDP and LP is to grab power after they lost it in 2015🤣🤣🤣. Vote Sowore for a better Nigeria

Seyi Tinubu Bolt Range Rover Wike #Davido Kenneth Okonkwo"
74,74,Christo_Legacyw,The centre of all things is God and is the reason of my being.,"Ikuata, Nigeria",4981,1656,10639,299,"*Many people missed this part of Atiku's speech on that day. Nobody has talked about it.*🧏

First he classified the south as only South West and South East and then in a condescending manner dismissed their agitation as ""whatever nation they call themselves"". https://t.co/vF2HgzAHct"
75,75,daclemx,"The ""Neck Presser"" Is Back!!!! Youths, Vote Wisely 2023. Vote Peter Obi for President. If you make wrong choice, Dollar will be #2K/$1. Abi suffer neva tire U?",Earth,856,554,9121,0,"Festus Keyamo confessing that Jagaban didn't go to school. No wonder he's an OLODO

#Vote HE Peter Obi Obaseki Horny of Ife Olosho Abati Rufai Bola Tinubu Seyi Tinubu Atiku Northerners Arewa Muslim President Buhari Flood INEC PVCs Edo State Oba of Benin Seun MarryHer Jesus Christ https://t.co/p2KFEMRNlW"
76,76,EngrMide,Never looking down on anyone cos tables do turn🤗👌...Blue is the colour 💙💙💙,,2464,1822,8211,1,"@BwalaDaniel This Bambiala guy sha 🤣🤣🤣 no campaign contents, just mentioning Peter and insha Allah. Atiku ti f'owo jona https://t.co/9mfOcDqF7a"
77,77,GideonAkubueze,,,151,118,6718,0,"@AishaYesufu Urine looks good to be use as Koboko but problem is how to hold it, Tinubu is good for Presidency but he's unwell, Atiku is unreliable&amp;confused,Obi is your last hope. if you don’t know where Rain starts beating you, you hardly know where it stops beating you. Vote for Peter Obi"
78,78,adamstingir,"Politician,counsel and counsellor.",Abuja Nigeria,4480,1530,6307,96,"Nyesom Wike saying Atiku disrespected him is just a hoax. The man  has been trying to pacify you since June, you expect him to put his campaign on hold because of your self seeking ego? Atiku and the PDP has moved on."
79,79,EngrMide,Never looking down on anyone cos tables do turn🤗👌...Blue is the colour 💙💙💙,,2464,1822,8211,1,"@BwalaDaniel This Bambiala guy sha 🤣🤣🤣 no campaign contents, just mentioning Peter and insha Allah. Atiku ti f'owo jona https://t.co/9mfOcDqF7a"
80,80,Capalot1300,"#PETEROBI.

Chelsea Forever💙",Bikini Bottom,1973,1045,44484,543,All thanks to people like @atiku who worked hard to make it a reality. https://t.co/tZTpSM7s0I
81,81,Kysburnguinea,Fashion model & a food lover.     I’m OBIDIENT & YUSUF TO THE CALL 🤭❤️,"London, England",479,326,993,712,Please don't vote Atiku or Tinubu if you want these to stop.... A Nigeria with new thinking is not possible with the duo. https://t.co/4fQsYc1rhc
