,Unnamed: 0,username,description,location,following,followers,totaltweets,retweetcount,text
22,22,stannoss,Stan II,"Amsterdam, The Netherlands",199,86,4524,1,"@fkeyamo If only Nigeria was US, or UK or any better country, Tinubu would be behind bars not even contesting. He is a drug dealer and corrupt merchant. SMH!

Keyamo, challenge me before the court of law that Tinubu did not steal public funds and he is not a drug dealer. 

Challenge me!!!"
23,23,TaiwoBa55256051,I'm a simple person and I  like to take life easy.,"Lagos, Nigeria",465,48,1599,98,"""Tinubu helped me to set up My $20 Billion Dollars refinery in Lagos, I will always remain grateful to him.""

Aliko Dangote"
24,24,Ntombekhaya_,Duchess of Cape Town - Princess Peaches.,Cape town,694,903,94795,156,We can blame Buhari and Tinubu all we want. But the government is a reflection of its people.
25,25,vawulence1515,,,90,27,916,1185,"In July 2018, Joe Blankson swam 13 times and rescued 13 people out of 25 people involved in a boat accident in Rivers State.

On his 14th attempt, he got exhausted and drowned.

Retweet this hero

| NYSC chioma Nigerians Ezra Tunde Dubai seyi Tinubu mayor church Anambra atiku | https://t.co/jPg3sO61RT"
26,26,IamChisomLucky,"22yr old Photographer.

https://t.co/YC0e2aMc57",valley of the kings. 👑👑,1868,1039,17848,1099,The guys in this video say Seyi Tinubu instructed thugs to attack them while they were pasting posters of the PDP candidate in Lagos. They say he had initially instructed a policeman to shoot them. https://t.co/wWjwm7nh1b
27,27,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,0,"@AishaYesufu Dear Nigerians 🇳🇬,
@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This's a big selling point.Preach this gospel.
@AJ_Ibekwem"
28,28,adoskol_w,"CEO ADOSKOL INVESTMENT,  ADOSKOL PETROLEUM & GIFTED KIDDIES INTERNATIONAL SCHOOLS. HUSBAND AND FATHER.",,335,465,14941,292,"If Anambra is Peter Obi’s Manifesto and Lagos is Tinubu’s Manifesto, then Peter Obi should quickly become the Personal Assistant to the Gateman of Tinubu’s Driver."
29,29,Mohamme22651747,Optimistic always,,1352,1426,4001,18,"2023 Presidency: Tinubu supported five northern presidential candidates, and north will pay him back — Gov Badaru of Jigawa."
30,30,MichaelObasman,,"Federal Capital Territory, Nig",141,57,2294,276,"Before 2023 general elections, both Atiku and Tinubu will make mistakes that will make them lose to @Peterobi. Do you know why I'm so sure? The way both of them are very desperate to get to aso rock either by hook or by crook they're bound to make mistakes that will cost them."
31,31,BalingaMs,Kindhearted but temperamental,,240,115,4619,42,"The way OBI-dients are crying over Seyi Tinubu, you will think he is contesting an election..... I am sure they are convinced that Seyi Tinubu will defeat Peter Obi in a presidential election."
32,32,Ebonytobi,,Nigeria,861,130,2232,67,"VIDEO: Tinubu, Shettima's wives arrive Benue for flood victims

SOURCE: Twitter/ Ayekooto https://t.co/eMFaJH1VxC"
33,33,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,0,"@AreaFada1 Dear Nigerians 🇳🇬,
@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This's a big selling point.Preach this gospel.
@AJ_Ibekwem"
34,34,MigrateGGRLtd,"US Immigration Lawyer, with over 25 years of practice experience. Offices in Silver Spring, Maryland and Lagos, Nigeria",,563,275,2468,626,"If you know the amount of attacks, insults, &amp; threats Obi influencers receive from Tinubu supporters everyday, you won’t ever call Obi supporters hotheads. Agbado people create more than 500 troll accounts everyday for their nefarious activities. You block 100, 300 pops up."
35,35,Mohamme22651747,Optimistic always,,1352,1426,4001,1,"@Naija_Activist We like to see the picture of peter obi on a canoe while on a condolences visit to his home town after flood wreck havoc, the two bags of rice and three cartoons of spaghetti Will make a better pic than this kano on Tinubu visit"
36,36,maxokeke2,"Noble Nigerian-Principal Partner Brick chambers, Lover of Jesus christ-","New Orleans, LA",3633,2325,19885,166,"""I will fight corruption, like Buhari."" (Bola Tinubu).
You will indeed, with bullion vans!"
37,37,Drexzy100,,,156,33,2248,309,"How Nigerian oil is stolen. 
Trend Tags:
Seyi Tinubu Flood Oba of Benin Pastor Nene https://t.co/Lzc19hIXUQ"
38,38,StephenPaulEOk1,Simple😊,"Lagos, Nigeria",562,56,660,1185,"In July 2018, Joe Blankson swam 13 times and rescued 13 people out of 25 people involved in a boat accident in Rivers State.

On his 14th attempt, he got exhausted and drowned.

Retweet this hero

| NYSC chioma Nigerians Ezra Tunde Dubai seyi Tinubu mayor church Anambra atiku | https://t.co/jPg3sO61RT"
39,39,BIOAPPLICATIONS,DIY Biologist and Inventor into Urban wastewater management. Anaerobic digestion+ Algae oxidation. Circular economy and synbio enthusiast.,Nigeria,2076,536,8812,213,"Beg any O'bingo's not to watch this video to avoid heart attack..

Bola Ahmed Tinubu in Delta Asaba. https://t.co/JeHaSuDPKA"
40,40,Sam4Onyenwanyi,Live and Let’s Live,Nigeria,686,369,4626,207,"Under my leadership any service chief that is not performing will be sacked!! The lives of Nigerians are too important to play politics with security - Mr. Peter Obi 

NYSC • Go and Verify • Congratulations Doyin • Kenneth Okonkwo • Abati Seyi Tinubu • Kano https://t.co/vqgAJUEEjk"
41,41,BalingaMs,Kindhearted but temperamental,,240,115,4619,56,"I am pleased to inform you that Tinubu’s manifesto, the Renewed Hope is winning new souls to our camp.

#SWA"
42,42,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,0,"@SaharaReporters Dear Nigerians 🇳🇬,
@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This's a big selling point.Preach this gospel.
@AJ_Ibekwem"
43,43,IZANWA,Obedient!!!,awka,5001,1923,23617,28,"Amoda Ogunlere (Tinubu) and his hungry boys have tried vehemently to separate Tinubu’s push for Presidency from his Satanic @OfficialAPCNg party POOR performance and backwardness 

It is not working  it can’t work, journalists are not buying it, Nigerians are not buying it."
44,44,sayyo2003,IT consultant | Professional Application Developer,Lagos Nigeria,237,88,1711,1328,"Dear Nigerians.

Let's see who is more responsible &amp; Breaking boundaries across globe. Like for Seyi Tinubu, Retweet for Oseloka Obi. https://t.co/c1812MBcEW"
45,45,517p705,"Go Coder. A weapon of mass production. BlackAvi until there's a effective response to kidnapping in UAR

RTs ≠ Endorsements",Planet Earth,4366,2464,64681,631,"They will never show you Videos like this! We are not making a mistake in Electing Peter Obi to librate this country, he has done it before in Anambra State. 

Abuja • Labour Party • Aso Rock • Kano • Seyi Tinubu • Delta • Ooni • South East. https://t.co/ftfo0LRYW4"
46,46,PI_Jay2prince,"Am jxt Me, Luv everytin buh hate Evil. Am d CEO/MD Of Businexminded and Jay2prince Technologies. Luv yall",Dubai,129,9,2868,0,@atiku @OfficialPDPNig Oga please answer this question first!! You Religious bigot!!! God will never allow you @atiku or Tinubu @officialABAT get the Presidency. Any the Grace Of God and with Our PVCs We will vote in Our desired Candidate @PeterObi come 2023. In Jesus Name Amen. https://t.co/vEXFSjKAiH
47,47,AmJimeta,Forcà Barca sc:am_jimeta,,514,192,2375,43,"Failure is not a Person, its an Event! Never say Never when Greatness is calling on You to Rise and Shine! You will Succeed 💕

Christ Jesus / Ikoyi / Abati / Atiku / Seyi Tinubu / Kenneth Okonkwo / Rivers #Cheating / Oba of Benin / Sabinus / Iran https://t.co/KmlOfL7l8A"
48,48,onyi_nwoke,,,82,71,2819,90,"An over 70yrs old man contesting to be President will go for medicals in a country governed by a 42yrs old who had contributed immensely to the growth his country. What can such man preach to the youths in his country? 🤔 🙄 😳 

Seyi Tinubu Kano Bashir Ahmed Reuben Abati
Obaseki"
49,49,Madukaobi7679,A business owner,"Prince George, VA",424,179,7430,626,"If you know the amount of attacks, insults, &amp; threats Obi influencers receive from Tinubu supporters everyday, you won’t ever call Obi supporters hotheads. Agbado people create more than 500 troll accounts everyday for their nefarious activities. You block 100, 300 pops up."
50,50,president_cfrn,,,102,21,642,1788,"Took a look in Tinubu's manifesto and one thing stood out. Most of it is gibberish, the rest is the continuation of Buharinomics.

But there is a part that has Tinubu's signature all over it, probably his main contribution to the document.

And if implemented, will be disastrous."
51,51,TroyesDave,Just me,"Tutong, Brunei ",86,73,2783,18,"Precious in trouble 😂😂

#Cheating #MarryHer HE Peter Obi Even Tinubu 

 https://t.co/kT4fw4bAtQ"
52,52,ijebu_boo,"I cheated on my fears, I broke up with my doubts & now I’m about to marry my dreams 🌖 Freelance Agric Consultant..Omo Yoruba ni mi","Lagos, Nigeria",727,552,10574,1328,"Dear Nigerians.

Let's see who is more responsible &amp; Breaking boundaries across globe. Like for Seyi Tinubu, Retweet for Oseloka Obi. https://t.co/c1812MBcEW"
53,53,ObongEt,"Positive vibes✌
Things get personal when we exchange digits, till then its fun & cruise. #LiverpoolFC","Lagos, Nigeria",3834,4046,38324,0,"@Omobolaji_AStar @TheresaTekenah @elivtjacksonJa1 That old man (Tinubu) is a drug dealer who forfeited drug funds to the US. He taxed Lagos massively but still left over $1b debt. He collects/control Lagos tax, feeds fat on fraudulent pensions &amp; benefits. Ur problem is Peter Obi who has not collected any kobo after leaving. Smh."
54,54,Cjmuokwe,"Proud husband of a rare diamond; Engineer, Educationist, lover of knowledge.","Awka, Nigeria",1668,1525,33172,626,"If you know the amount of attacks, insults, &amp; threats Obi influencers receive from Tinubu supporters everyday, you won’t ever call Obi supporters hotheads. Agbado people create more than 500 troll accounts everyday for their nefarious activities. You block 100, 300 pops up."
55,55,PObilonu,"selfless to all men, patriotic and a game player.",,777,337,8440,901,"Seyi Tinubu is worth over a billion naira– money acquired from Lagos bill boards and taxes but Qudus with the peeled leather belt and over worn sandals will come online to blast Oseloka Obi who is doing well for himself with a successful career in the UK.
Poverty is a bastard."
56,56,Obi_festivals,King ♍,"Awka, Nigeria",733,415,7533,1943,"Banking halls in Nigeria became football viewing centers on a Monday morning, bcos Peter Obi was on Arise TV. No one cares about what Tinubu is saying. Listening to Jagaban regurgitate the nonsense that comes out of his mouth, is punishment. If u like, don’t vote for sense"
57,57,TemiTFe,"God 1st🥇
Scorpio ♏
Chef 👨‍🍳
I.T consultant 💻
Introvert🤦
aesthete😍
Kiss addict 🤏
Sacred","Lagos, Nigeria",791,125,2176,0,@larryjoko @ezekielmarkus15 @GazetteNGR Seyi tinubu na sacrifice be that
58,58,Emmanue73767946,knowledge is power,,317,84,9346,198,"Dear Obidients,

Peter Obi is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.

Tinubu and Atiku have collected billions of naira as pension since leaving office. 

This is a big selling point. Preach this gospel

Arise TV Rufai"
59,59,lick4tune,Cloud FinOps Analyst/ DevOps Engineer. Fortune500,"Washington, DC",213,108,3017,0,"@ayemojubar Buhari used the same format in 2015, no media, No debate and he won.  That’s what Tinubu is trying to do.  He would fail this time ."
60,60,pinkiee002,I don't know what I did to twitter 🙄😿😿. Please #obidients follow me back..... #PeterIsBetter #ObiDatti2023 😍💝 #Endsars member @takebacknaija_,,201,198,6686,626,"If you know the amount of attacks, insults, &amp; threats Obi influencers receive from Tinubu supporters everyday, you won’t ever call Obi supporters hotheads. Agbado people create more than 500 troll accounts everyday for their nefarious activities. You block 100, 300 pops up."
61,61,AmJimeta,Forcà Barca sc:am_jimeta,,514,192,2375,551,"This actually brought tears to my eyes mehn!Take a look at the party people are coming to defend.The day we wake up will be the beginning of greatness in our lives!Guys just look at the evil people, people are defending. Ah!

Seyi tinubu bode George Ikpeazu flood Nathaniel bassey https://t.co/hyFB4CUL8z"
62,62,OzyBundee,"I am a unique mixture of being laid back but i am extremely focused at the same time, but can be very social and the life of the party as well",South Africa,2319,1793,31789,165,"I entirely agree with Edo State Governor Godwin Obaseki. 
No right-thinking person will vote in the APC and Tinubu 
What he failed to add is, “No reasonable Nigerian will vote in PDP&amp;Atiku.”

__
Rufai Abati Peter Obi Go and Verify Nnamdi Kanu Kenneth Okonkwo"
63,63,harrydaniyan,"Official Twitter Account of Haruna Daniels, Architect from Kebbi State; Social Critic, Bible Story Teller, CORE BUHARIST, Nigerian.","Abuja, Nigeria",791,13003,51126,0,"@OtisiOkezie @Aikoges @PeterObi Yes.
The irony is, politics has absolutely NOTHING to do with how good you are in speaking English.

If it is, Chimamanda Ngozi Adichie should be able to gather more votes for Obi than MC Oluomo can for ASIWAJU BOLA AHMED TINUBU.
But we'll find out soon: February is not far...
😁"
64,64,IbLagos,Internet | Business | Humanity | BATist 📌,A Soul In Africa,690,1567,7125,90,"Tinubu List of awards. 
-The ‘Best Governor of  2001 by the Nigerian/Belgian Chamber of Commerce
-Winner of 2002 Best Practices Prize in improving the living environment (by the Federal Ministry of Works and UN habitat Group), 2000 
-Best computerized Government in Nigeria"
65,65,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,0,"@SaharaReporters Dear Nigerians 🇳🇬,
@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This's a big selling point. Preach this gospel.
@AJ_Ibekwem"
66,66,FKT_147,"Arsenal lover, poetry lover, Writer and positive thinker.Neoblackist humanist pan African, Brymo, mode9, Nubian and Asa lover Peter Obi/",Nigeria,2982,538,3253,2,"@Tinubu___2023 @teeana_world 😂🤣🤣🤣 you have been lied to again . Why are some youths so gullible;
Please Use google lens to scan the image zooming into the camera in the photo and see the specifications that google brings out of that equipment. GOOGLE is your friend! https://t.co/rdpXZrD9AJ"
67,67,SamyIce_ace,The Ultimate Kingsman and Ardent Liverpool Lover!Aviator #YNWA 🧑🏿‍✈️🛩,,2594,2708,100794,626,"If you know the amount of attacks, insults, &amp; threats Obi influencers receive from Tinubu supporters everyday, you won’t ever call Obi supporters hotheads. Agbado people create more than 500 troll accounts everyday for their nefarious activities. You block 100, 300 pops up."
68,68,damilolami,,,154,16,370,0,"Tinubu and Atiku finally but partially heeded Obi’s call to empathize with the victims of the heavy flood affecting the nation currently and Buhari jets out to South Korea!
Definitely, you can’t buy empathy!
#Nigerians vote wisely!!!"
69,69,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,0,"@thecableng @IAOkowa @OvieOmoAgege @OfficialPDPNig @OfficialAPCNg Dear Nigerians 🇳🇬,
@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This's a big selling point. Preach this gospel.
@AJ_Ibekwem"
70,70,GeraldRod3,Smart minds,,187,45,4492,490,"No right-thinking person will vote for APC and its presidential candidate, Bola Tinubu. Nigeria will break if APC wins the 2023 presidential election

~Edo State Governor, Godwin Obaseki https://t.co/gPqvNwIeAK"
71,71,freshboygilen,"GOD... FAMILY... Hustle
PS~ifb😎",closer than ever,574,653,8273,0,@YeleSowore Tinubu just left d group
72,72,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,0,"@YunusaTanko Dear Nigerians 🇳🇬,
@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This's a big selling point. Preach this gospel.
@AJ_Ibekwem"
73,73,Odogwu_priest,"Memories remind us that nothing last forever, you can be happy today and sad tomorrow. Time is precious and should not be wasted. Enjoy life.😌","Achnasaul, Scotland",2155,872,20116,216,"“If you want people who sleep, you go to the Emir’s palace and check Tinubu when he goes on a courtesy visit”  — God Of Vawulence &amp; Thunder Kenneth Okonkwo dismantles Bola Ahmed Tinubu’s jaw with one blow 👊🏽 https://t.co/s8slecJ37K"
74,74,Babak90819191,"I hate crime,so criminals stay away from this account.",Don't send ur money 2 stranger,269,154,12625,1,"@PeterLanlehin @BwalaDaniel If na PMB or another person from APC for 2023,APC no go win o. Na Bola Tinubu and Shettima go make APC retain power&amp;I thank God BAT got the presidential candature.I actually want to see BAT as president."
75,75,adoskol_w,"CEO ADOSKOL INVESTMENT,  ADOSKOL PETROLEUM & GIFTED KIDDIES INTERNATIONAL SCHOOLS. HUSBAND AND FATHER.",,335,465,14941,137,Asiwaju Tinubu interacts with APC Kano Women Support Groups.  The reception is hooge! #RenewedHope2023 #BATInKano https://t.co/st8OKYNLoi
76,76,_fenuel,It's all started with a Big Cry 😁,,1226,283,5729,712,Please don't vote Atiku or Tinubu if you want these to stop.... A Nigeria with new thinking is not possible with the duo. https://t.co/4fQsYc1rhc
77,77,daclemx,"The ""Neck Presser"" Is Back!!!! Youths, Vote Wisely 2023. Vote Peter Obi for President. If you make wrong choice, Dollar will be #2K/$1. Abi suffer neva tire U?",Earth,856,554,9121,0,"See what someone said about Chigozirim Aliyu's family. He's an APC DOG. 

#Vote HE Peter Obi Obaseki Horny of Ife Olosho Abati Rufai Bola Tinubu Seyi Tinubu Atiku Northerners Arewa Muslim Muslim President Buhari Flood INEC PVCs Edo State Oba of Benin Seun MarryHer Jesus Christ https://t.co/iXrINWSUDy https://t.co/3HnJ0ynCgv"
78,78,NwaOwere_1,"Unapologetic Igbo. Born in the North (Plateau), Bred in the East (Imo), Lived in the South (Uyo), Hustling in the West (Lagos). Loves traveling and history.","Lagos, Nigeria",3706,2625,11893,1788,"Took a look in Tinubu's manifesto and one thing stood out. Most of it is gibberish, the rest is the continuation of Buharinomics.

But there is a part that has Tinubu's signature all over it, probably his main contribution to the document.

And if implemented, will be disastrous."
79,79,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,0,"@channelstv Dear Nigerians 🇳🇬,
@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This's a big selling point. Preach this gospel.
@AJ_Ibekwem"
80,80,EngrEmekaa,Engineer | Consultant | Advisor | Gym Bully | Seek to learn before you speak,NY/GA/Abuja,645,171,39588,1788,"Took a look in Tinubu's manifesto and one thing stood out. Most of it is gibberish, the rest is the continuation of Buharinomics.

But there is a part that has Tinubu's signature all over it, probably his main contribution to the document.

And if implemented, will be disastrous."
81,81,EChukwudifu,".we are reliable. do you need calcium propionate, sorbic acid, citric acid anhydrous or mono. msg, sodium bicarbonate, sodium Benzioate, xanthan gum,gur gum dm.","Lagos, Nigeria",750,555,43724,626,"If you know the amount of attacks, insults, &amp; threats Obi influencers receive from Tinubu supporters everyday, you won’t ever call Obi supporters hotheads. Agbado people create more than 500 troll accounts everyday for their nefarious activities. You block 100, 300 pops up."
82,82,AJ_Ibekwem,"An Economist/Financial Advisor, Public Servants, Retail Manager, Hotelier, And Cryptocurrency 📈Expert. 
Follow ___ @AJ_Ibekwem",Global Citizen ,693,472,6067,0,"@OnlineGuru_ Dear Nigerians 🇳🇬,
@PeterObi @NgLabour is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.
Tinubu &amp;Atiku have collected billions of naira as pension since leaving office.
This's a big selling point. Preach this gospel.
@AJ_Ibekwem"
83,83,LifeOfEnglio,I would like to apologize to anyone I have not offended for PeterObi. Please be patient. I will get to you shortly. Student of Life🌴🌊 Emotionally enlightened.,Somwhere in the Universe ,337,164,1359,1185,"In July 2018, Joe Blankson swam 13 times and rescued 13 people out of 25 people involved in a boat accident in Rivers State.

On his 14th attempt, he got exhausted and drowned.

Retweet this hero

| NYSC chioma Nigerians Ezra Tunde Dubai seyi Tinubu mayor church Anambra atiku | https://t.co/jPg3sO61RT"
84,84,Babak90819191,"I hate crime,so criminals stay away from this account.",Don't send ur money 2 stranger,269,154,12625,1,"@PeterLanlehin @BwalaDaniel If na PMB or another person from APC for 2023,APC no go win o. Na Bola Tinubu and Shettima go make APC retain power&amp;I thank God BAT got the presidential candature.I actually want to see BAT as president."
85,85,IjeomaChidozie,football,,656,95,1127,20,"Femi Fani Kayode telling Nigerians that we will feel more pains under APC again,  after all the pains we’ve gone through and we’re still going through🙆🏾‍♂️

This people doesn’t mean well to us,  dem want to suffocate Nigerians with severe pains again under Tinubu.

Vote wisely 🙏🏾 https://t.co/lJbb6k5MfK"
