,Unnamed: 0,username,description,location,following,followers,totaltweets,retweetcount,text
10,10,BetterNigerian,Child of GOD,Northpole,460,403,22679,717,No presidential candidate has spoken to Nigerians through the TV media like Peter Obi. Agbado is yet to be grilled by any TV panel. Atiku has been shying away from live TV scrutiny. Peter Obi is the only candidate that’s mentally and physically prepared to be president of
11,11,Tonynonny,"A president// Humanitarian // political scientist// Content Creator//Businessman.
DM is open .",Africa,4488,2919,35990,540,"Peter Obi has never shown DESPERATION in becoming Nigeria's PRESIDENT, and he hasn't said he is a Messiah or Saint BUT he is undisputedly an ICON of RESCUE - A Global Star

Rufai Abati Peter Obi Go and Verify Nnamdi Kanu Kenneth Okonkwo https://t.co/bywXXqz96t"
12,12,Tonynonny,"A president// Humanitarian // political scientist// Content Creator//Businessman.
DM is open .",Africa,4488,2919,35990,164,"When Peter Obi mentioned the km of river Nile, benue and Niger .. I rushed to google to fact check it like rufai .. 

When I saw he was spot on .. I was wowed I’m not going to lie .. I read a whole lot and I don’t even know this kinda things off hand. Lemme go and polish my PVC."
13,13,goreehollar1,"CEO of GREY CHEMICALS & FUMIGATION SERVICES 
#30BG for life😈❤️
Dm for Ads||Brand Influencer||🇳🇬 4k??",,906,3245,67173,331,"After listening to Kenneth Okonkwo speak on the Peter Obi's candidacy, the whole election has been elevated to Peter Obi VS others."
14,14,Lexxi_MD,Daily dose of Redpill,Nigeria,317,210,3618,538,"All Reuben Abati’s questions are an attempt to shame him but Peter Obi’s answers are screaming “Bro I know your type, I’ve seen your type but you no reach”"
15,15,BlackArtDubem,"I'm  human with a human heart!! I stand for peace and the oppressed,the less privileged!!!  I am christ like!...... I bleed when I see the tears of my people!",Nigeria,474,233,8454,1894,"This brought tears to my eyes. I think Peter Obi’s decision about this issue goes a long way to show the kind of heart he has. 

#PeterObi4President2023 Kenneth Okonkwo #AbujaTwitterCommunity Arise TV #davido Yansh #Cheating Crocs Tank Nengi https://t.co/i5c5dgzO9s"
16,16,BetterNigerian,Child of GOD,Northpole,460,403,22679,867,"My People, always share Peter Obi’s interviews via your WhatsApp. Our daddies &amp; mommies are the people that need his Sermons the most. Broadcast his messages like the Gospel. Nigeria must be saved from senile, corrupt &amp; incompetent men, &amp; their vuvuzelas + foot soldiers."
17,17,unique__zeezo,Exboy,Nigeria,137,246,20666,206,"Peter Obi is reawakening the humanity in Nigerians. We all are taking the flooding and other disasters serious. What a man

Cash out. Nigeria. Nathaniel Bassey. Ronaldo. Bode George. Kano. Dubai. Seyi Tinubu. South east. Iwobi. Ikpeazu. Osimhen. https://t.co/x977wabqGt"
18,18,osayich,Entrepreneur • Capacity Building • Monitoring & Evaluation • Strategiy • Planning • Consultancy • Digital Marketing • Founder @panda_links,Nigeria,22159,21576,94267,2457,"This is how you can convince me to vote for your candidate... @fkeyamo Bring out your 2015 and 2019 party manifesto, then start clicking one after the other the once you've achieved. If you've achieved 30% out of ur 100% manifesto, I'll withdraw my support for Peter Obi."
19,19,Segunakanbi70,,"Lagos, Nigeria",47,10,126,288,"If Anambra is Peter Obi’s Manifesto and Lagos is Tinubu’s Manifesto, then Peter Obi should quickly become the Personal Assistant to the Gateman of Tinubu’s Driver."
20,20,RazorSharpMints,God's favorite Huios . The Outpour infilled me with Paracletos,,3899,448,24014,382,"Without Peter Obi &amp; the Obidients in the equation now, the APC would have had the smoothest sailing. PDP was a useless opposition, they are more useless even now. They miss the reckless looting so much. Obi should have left them since 2020, but it’s better late than never."
21,21,BlackArtDubem,"I'm  human with a human heart!! I stand for peace and the oppressed,the less privileged!!!  I am christ like!...... I bleed when I see the tears of my people!",Nigeria,474,233,8454,147,"“Peter Obi inherited a disaster in Anambra state. Peter Obi came in and transformed Anambra state, he took the security situation and cleaned it up.  Even Evans the billionaire kidnapper ran away from the state due Obi’s security tactics ” — @realkenokonkwo Kenneth Okonkwo https://t.co/hoMyeLBR3K"
22,22,terro_eyes,🧢,"Abuja, Nigeria",4416,2447,44828,625,"They will never show you Videos like this! We are not making a mistake in Electing Peter Obi to librate this country, he has done it before in Anambra State. 

Abuja • Labour Party • Aso Rock • Kano • Seyi Tinubu • Delta • Ooni • South East. https://t.co/ftfo0LRYW4"
23,23,wizkidvoice,Everything @wizkidayo. @Manutd,🌟 STARBOY 🌹,439,841,55108,1525,"BAT was so disappointed with Ganduje during his visit to Kano. After the huge amount APC paid to hire crowd, people refused to show up. It is clear that nobody can brag about having north any more. All that Peter Obi support groups have to do is to be strategic. We can do it."
24,24,saintgerald9,"A soldier, a student. UAV pilot and engineer",,972,244,3857,789,"Rufai to Obi: we need your manifesto which is a social contract.
Peter Obi: no manifesto is more than what I'm telling you on air, it is recorded and you'll be judged by it any day instead of some fast food manifesto that candidates can deny they wrote themselves https://t.co/Oxj9k2NGVw"
25,25,IyawoWizkid1,,"Lagos, Nigeria",82,181,8744,477,"As we curate Peter Obi's phenomenal interview that just ended on Arise TV, it's key to ask Dr. Abati why he enjoys jokes with sexual undertones. Why ask PO how he maintains a non-existent girlfriend? The other time, he teased Prof Aworawo for being active in the other room on TV!"
26,26,OzyBundee,"I am a unique mixture of being laid back but i am extremely focused at the same time, but can be very social and the life of the party as well",South Africa,2319,1793,31755,1063,"What's killing Nigeria today is wealth without Enterprise.

Peter Obi on Arise TV."
27,27,517p705,"Go Coder. A weapon of mass production. BlackAvi until there's a effective response to kidnapping in UAR

RTs ≠ Endorsements",Planet Earth,4366,2464,64680,1468,"One bragging right (above all others imo) that obedients don’t nail on more is Peter Obi’s stance that he has never received a dime in pension from Anambra state. 

Can any other politician alive in this country boast of that?"
28,28,shy_princess07,cryptocurrency enthusiast,,382,148,1794,471,"This was Elrufai who confessed that the directive to detain him came from Abuja, it beggers belief why he will be lying that it was Peter Obi that asked that he be detained.
https://t.co/DiWPdpDAKI"
29,29,daclemx,"The ""Neck Presser"" Is Back!!!! Youths, Vote Wisely 2023. Vote Peter Obi for President. If you make wrong choice, Dollar will be #2K/$1. Abi suffer neva tire U?",Earth,854,554,9114,0,"GBAM! We don't need proof of life APC. Come and speak to the media. Tell us what you'll do. Leave maniefsto

HE Peter Obi Obaseki Horny of Ife Olosho Abati Rufai Bola Tinubu Seyi Tinubu Atiku Northerners Arewa President Buhari Flood INEC PVCs Edo State Oba of Benin Christ Jesus https://t.co/vnfhSOU3gL"
30,30,OzyBundee,"I am a unique mixture of being laid back but i am extremely focused at the same time, but can be very social and the life of the party as well",South Africa,2319,1793,31755,2978,"When Mr Peter Obi mentioned the size of River Niger and River Benue and also Rver Nile,
 Rufai Oseni ,said  let me fact check u, he said go on...He fact checked and said correct !!!! I quickly remembered Wike band song A biggie man A biggie man 🤣🤣🤣🤣🤣🤣"
31,31,TimofSussex,We Need Political Change,"Abuja, Nigeria",381,110,1660,1525,"BAT was so disappointed with Ganduje during his visit to Kano. After the huge amount APC paid to hire crowd, people refused to show up. It is clear that nobody can brag about having north any more. All that Peter Obi support groups have to do is to be strategic. We can do it."
32,32,iamlalajoe,"I am Moved by my Believe and it's Evident in my Practice @Chelseafc
'One man one bullet'",Treasure Island,1553,2357,67938,554,Peter Obi asked us to go and verify his contributions to NEWMAP during his interview on ARISE TV. This is proof from 2014. https://t.co/6xJfxa8dja
33,33,dosomethinglife,Young people who are inspired to use their talents & resources to do something that positively impacts on their communities. Join us!,worldwide,94,118,1111,1711,"Always a pleasure having Peter Obi on The Morning show on Arise Tv.
It’s also a thing of Pride being the producer of the Number one morning show in Nigeria.
All thanks to the crew, and also the amazing presenters Dr Reuben Abati, Tundun Abiola &amp; Rufai Oseni. https://t.co/pffSUGLws1"
34,34,JanefromIG,,,10,6,38,2160,"my album drops friday, even if Drake, Kanye, Wizkid, Beyonce, Micheal Jackson, Rihanna, Davido, Vic O, Madonna, Justice league, Super man, Dr Strange,leanardo dicaprio, Lewis Hamilton,Valentino rossi, Peter Obi, Ecclesiastes, Socrates, spinall all decide to drop albums that day‼️ https://t.co/RIhvmQM98P"
35,35,RazorSharpMints,God's favorite Huios . The Outpour infilled me with Paracletos,,3899,448,24014,857,"Peter Obi answering the very difficult questions on Arise TV, while Kenneth Okonkwo showcases his brilliant oratory ability on AIT. This is the kind of vibrancy and accountability that people want to see in potential leaders. Not someone who keeps shying away from interviews."
36,36,wizkidvoice,Everything @wizkidayo. @Manutd,🌟 STARBOY 🌹,439,841,55108,562,"NORTHERNERS!! Let's leave sentiments aside. You guys will feed the nation through Peter obi! He keeps emphasizing on this in most of his interviews &amp; speeches. Don't allow those benefitting from this government decieve you. 

Arise TV Rufai jandor delta abuja Reuben abati togo https://t.co/LU6xynrR4w"
37,37,Chocoplum2,,,6,0,1,1047,"‘If You Put A Gun To My Head, I Won’t Reveal How I’m Going To Deal With Insecurity In Nigeria’, Says Peter Obi When Asked How He’ll Curb Insecurity | Sahara Reporters https://t.co/evoG0FHCQj https://t.co/4VEN9RaMiX"
38,38,Miguelzuby,"Invest in your skin, invest in your smell, invest in your room, invest in your fashion, invest in your food, invest in your health. Invest in yourself.","Lagos, Nigeria",1421,310,8103,1,"Boko Haram and Bandits keep killing our brothers in The North....But you want to vote for a terrorist sympathizer.

#Vote HE Peter Obi Obaseki Horny of Ife Olosho Abati Rufai Bola Tinubu Seyi Tinubu Atiku Northerners Arewa President Buhari Flood INEC PVCs Edo State Oba of Benin https://t.co/HufIAspcNh"
39,39,Tonynonny,"A president// Humanitarian // political scientist// Content Creator//Businessman.
DM is open .",Africa,4488,2919,35991,624,"Reuben Abati “We’ve seen most President pick another woman as their First Lady, will that be the same with you?”

Peter Obi: I’m happy with my wife infact dealing with one woman is a problem, I can’t imagine 2 women 😂😂

Reuben thinks everyone is like his PDP candidate smh 🤦"
40,40,estaphill9,lost my account 😖😖,,269,302,1692,1258,"Rufai: Are you saying your Vice Presidential candidate should apologize regarding his recent comments on End Sars?

Peter Obi: I'm the ""President"", I'll be the one to apologize. We have alot of people to apologize to.

Phew. Goose pimples."
41,41,sirrdemilade,Verified © Official Profile Playstation Junkie & A Foodie Truth 1st! No Fear! #Endsars 💙CITIZEN💙FODEN 💙HAALAND 💙MESSI🐐 DAVIDO 🐐,"Cape Town, South Africa",722,1956,30745,1361,Peter Obi came to promote peace on Arise Tv with Rufai and Reuben but Kenneth Okonkwo came to AIT with 2by2. He chose vawlence!😂 https://t.co/EIbJSNBz2b
42,42,Pius55739256,"I want to do it again and again, as long as I will not give up","Federal Capital Territory, Nig",336,112,3418,601,"The TL is completely clear of Mikano boys and Agbado members.

This silence is sponsored by Peter Obi on Arise News."
43,43,jotham007,,,584,328,2778,104,"Our own DG @doyinokupe unveiled and launched our 1,000 pices of aprons for market women produced by @nwv4_ObiDatti for more sensitization of H.E @PeterObi &amp; @NgLabour. All of us @nwv4_ObiDatti are committed to doing our best towards a better Nigeria come 2023 through Peter Obi https://t.co/jFIjcUzZIe"
44,44,DBG31236522,,,962,338,14054,100,"You can now watch the full interview on AIT Kaakaki held on the 24th of October, 2022 at 7:25am.
https://t.co/4NNjHBrF4C
Meanwhile, I received a lovely clock gift from the Dynamics Ambassadors for Peter Obi (DAPO) as symbol for the countdown to our electoral victory come 2023. https://t.co/eaqo5Sbx5N"
45,45,kingreg7,you can buy friends but enemies you get for free.,"Lagos, Nigeria",146,26,496,0,"@jrnaib2 @jrnaib2 I use to admire your dad but that was when we were left to choose from bad and worst. Now we have better in @PeterObi and am sticking to that, even the waziri himself can attest to the good Peter obi will bring.
I can show you prove of your father attestation"
46,46,Ollawaski,Pan-Africanist//Non-conformist//Military Enthusiast//Tweet ≠ Advice//RT ≠ Endorsement,🇳🇬 🇬🇧 ,1051,1304,14516,563,"Peter Obi to Presidential Candidates: Tell Nigerians Your Plans Yourself Not Through Proxies

Labour Party's presidential candidate Peter Obi, says his readiness to talk to Nigerians stands him out from the competition, demanding that fellow candidates honour media invitations. https://t.co/lEUQOEL8HY"
47,47,RazorSharpMints,God's favorite Huios . The Outpour infilled me with Paracletos,,3899,448,24014,164,"BREAKING: Under Tinubu MC Oloumo may be the minister of transportation. 

Nigerians,  vote wisely. Vote for Peter Obi. If you allow Tinubu with MC Oloumo being your minister of transportation you know what that means.  Enough is enough. Take back your country from LOOTERS."
48,48,MykelEmordi,"Christian| Footballer | Funny side| Lovable
@m_emordi8 IG","Essen, Germany",468,493,48470,164,"When Peter Obi mentioned the km of river Nile, benue and Niger .. I rushed to google to fact check it like rufai .. 

When I saw he was spot on .. I was wowed I’m not going to lie .. I read a whole lot and I don’t even know this kinda things off hand. Lemme go and polish my PVC."
49,49,johnseek4u,Life is good . Live good and be happy,,1391,479,3271,133,"I will give you a manifesto but there's nothing better than what I'm telling you with my mouth. ~ HE Peter Obi on Arise TV

🇳🇬Kenneth Okonkwo Ezra Ooni Kano Toothache Nollywood South Korea Oba of Benin Abati #Cheating Go and Verify Sabinus Keke Bashir Visa Tunde #davido Indomie🇳🇬 https://t.co/DOE3CNWSQj"
50,50,IbLagos,Internet | Business | Humanity | BATist 📌,A Soul In Africa,690,1567,7120,187,"On AriseTV today, Peter Obi said his children tape him whenever he wants to make a promise to them.

Even his immediate family cannot trust him,baba lies are legendary 😭"
51,51,BarnabsService,Barnabs Services is one of the top cleaning companies in Lagos that specializes in regular and one off commercial cleaning as well as office cleaning services.,Lagos State,141,8,94,1293,"Special thanks to @PeterObi for never giving us stress after his interviews. No need for astrologers, diviners, prophets, soothsayers, tongue-twisters, speech-writers, Akeelah and Bee contestants, online warriors, mathematicians &amp; corn-men to explain what Peter Obi said. Arise TV https://t.co/2I9yFPf6RV"
52,52,LiMegatronic,Cloud Security | Solutions Architect | CASB | SASE | Diaspora | Anything worth doing is worth overdoing | Mediocracy is for cowards |,,562,1059,31724,1047,"‘If You Put A Gun To My Head, I Won’t Reveal How I’m Going To Deal With Insecurity In Nigeria’, Says Peter Obi When Asked How He’ll Curb Insecurity | Sahara Reporters https://t.co/evoG0FHCQj https://t.co/4VEN9RaMiX"
53,53,firstnameejike,Mind over Matter | Tech enthusiast | One of a kind | Successful | Visionary | Uranus | Blue-Gray | Sapphire | NC-SE-NE-SW Ambassador | Engineering,Nigeria,969,195,10237,355,"Rufai: Are you saying your Vice Presidential candidate should apologize regarding his recent comments on End Sars?

Peter Obi: I'm the ""President"", I'll be the one to apologize. We have alot of people to apologize to

My Presido!
#Obidatti023 Arise TV https://t.co/DHtGFSjKEU"
54,54,successful741,"almost a perfect gentleman.

                                                 @ManUtd ❤ @BurnaBoy ❤backup @successful147",PETEROBI4PRESIDENT2023 ,1058,1180,17531,379,"Peter Obi was the first serving Governor to be appointed into the Presidential Economic Management Team.

Go and verify!!"
55,55,presa_ig,"🔌*MuA🇿🇦🇳🇬dm or email for bookings

Email:micheala@icloud.com🌈
🕊🦅",,161,210,9614,2128,"Peter Obi must be President. 

God please abeg."
56,56,DasFreidenker,"Sceptic, Humanist, #EndSARS Digital Activist.
#IStandWithPeterObi",Planet Mars,2086,1143,69185,3,Have you convinced your parents about Peter Obi??
57,57,KesseScott,"Personality::Cruise & Crazy Dude 🚭 Motivation::God & Money 💰,, C.E.O::Dynamic Empire Starz Record Club::CHELSEA 💙(On loan to REAL MADRID 🤍)","Lekki, Nigeria",5000,5495,303304,4122,I stumbled on this old video of Peter Obi addressing Igbo audience more than 7years ago. This man's empathy is unbelievable even when it doesn't concern him. Peter Obi was told that Nigeria Customs officials were extorting people returning to the east for Christmas. https://t.co/Rhf6m7mKPz
58,58,GideonAkubueze,,,151,118,6700,0,"@SaharaReporters Only a Tree hears ""I will cut you down"" still standing, if human hears that will immediately Run away, APC&amp;PDP should apologise to Nigerians for causing havoc against all for years as we match forward using our votes for Peter Obi to chest them out from power. Vote for Peter Obi"
59,59,johnseek4u,Life is good . Live good and be happy,,1391,479,3271,57,"APC boys thought it is easy to quote statistics like PO until Shettima attempted it and ended up with historic lamba. Festus tried it and also ended up with senior lamba. You can't force what you don't know. Respect PO

Kenneth Okonkwo Wike Obaseki Kano Rufai Bashir Mr Peter Obi https://t.co/f2ck9HH2kw"
60,60,0luoma,,,1356,205,1977,562,"NORTHERNERS!! Let's leave sentiments aside. You guys will feed the nation through Peter obi! He keeps emphasizing on this in most of his interviews &amp; speeches. Don't allow those benefitting from this government decieve you. 

Arise TV Rufai jandor delta abuja Reuben abati togo https://t.co/LU6xynrR4w"
61,61,daclemx,"The ""Neck Presser"" Is Back!!!! Youths, Vote Wisely 2023. Vote Peter Obi for President. If you make wrong choice, Dollar will be #2K/$1. Abi suffer neva tire U?",Earth,854,554,9114,1,"Boko Haram and Bandits keep killing our brothers in The North....But you want to vote for a terrorist sympathizer.

#Vote HE Peter Obi Obaseki Horny of Ife Olosho Abati Rufai Bola Tinubu Seyi Tinubu Atiku Northerners Arewa President Buhari Flood INEC PVCs Edo State Oba of Benin https://t.co/HufIAspcNh"
62,62,BennieOwie,Ideology warehouse.,Nigeria,34,4,491,335,"El Rufai how market !
This is no longer the era of propaganda, this is the era of reality.
Peter Obi has no hand in your arrest. https://t.co/s2SRmQpEej"
63,63,SpartanEmpireG,"Successful Stoner 🌬️... 
Down as a great.. 
T.M.C🏁
Peter obi 4 President..
08150660379",Nigeria🇳🇬,306,26,475,1047,"‘If You Put A Gun To My Head, I Won’t Reveal How I’m Going To Deal With Insecurity In Nigeria’, Says Peter Obi When Asked How He’ll Curb Insecurity | Sahara Reporters https://t.co/evoG0FHCQj https://t.co/4VEN9RaMiX"
64,64,OneKindGuy,Loading........,Worldwide,1153,453,25335,233,Peter Obi is an honest man and that will count for him
65,65,emispecial23,,,218,480,4102,688,"If Peter Obi should visit Sheikh Dahiru Bauchi today, he'll have earned like 200k votes automatically even before he starts campaign."
66,66,GideonAkubueze,,,151,118,6700,0,"@GazetteNGR Only a Tree hears ""I will cut you down"" still standing, if human hears that will immediately Run away, APC&amp;PDP should apologise to Nigerians for causing havoc against all for years as we match forward using our votes for Peter Obi to chest them out from power. Vote for Peter Obi"
67,67,iam_rokeslim,I tweet when necessary.,"Abuja, Nigeria",868,668,3310,0,"Asking Peter Obi a question on how he intends to tackle security on National TV, is not a wise question. Maybe they forget that bandits, Boko Haram and their sponsors have access to this TV. #votewisely #PeterObi4President2023 #Nigeria"
68,68,johnseek4u,Life is good . Live good and be happy,,1391,479,3271,24,"It is my greatest privilege and honour to have known and overwhelming support Mr.Peter Obi, I'm a detribalised Nigerian who believes in value-chain competence and green ocean strategies. He's a GLOBAL ICON &amp; STAR

HE Peter Obi Rufai Seun #MarryHer #Cheating Kenneth Okonkwo Abuja https://t.co/aSIS0P3RGz"
69,69,Kencassy,"Awesome + Legendary.
Never Lucky...Always blessed.
#Engineer #OffAirPersonality.
*Twitter = Leisure
*Twinnie 
*IG&Skype: It's *kencassy* again.",I'm SOARing!,1043,1111,39994,1251,"Rufai: will you be attending the NESG presidential debates on November 15th?

Peter Obi: Of course I'll attend ANY DEBATE.

Can your candidate be brave enough to say this?
Oh well…🤣🤣🤣"
70,70,smartxris,I'm me - smart & passionate about things that I believe in.,UK,277,107,18192,194,"A MAN whose political party has NO structure has become the most accepted and popular presidential candidate in this election. Ladies and gents, Peter Obi is the NEXT president of the Federal Republic of Nigeria 🇳🇬. It’s POssible! #ObiDatti2023 

—
Kenneth Okonkwo Arise TV Rufai https://t.co/OBuLKVhQ0C"
71,71,iamkingjabulani,"FARMER 🐣 proudly @arsenal , Vote PO Labour Party for President, GSM PDP for Oyo State Governor. retweet and likes are not endorsement of tweet",Eden,560,842,35045,0,@DestinyDsty @jamesekele113 @IgweGodwin17 @GoziconC Yes; the idi*t  is here Shading Peter Obi; he should come out if he is bold enough to tell us about his Parent
72,72,Centobestz,Scientist,Chicago. US,823,131,4268,0,@DeeOneAyekooto I like the way you campaign for PETER OBI every minutes of the Day. 99% of your post are for OBI because you are Obidient. Keep it up shameless boy
73,73,ChristarTV,"ChristarTV : A TV with Opportunities.
We bring the best opportunities across globe to your doorsteps.

Crypto Maximalist",,2378,1136,6531,2415,The best way to start a week is to listen to Peter Obi talk on @ARISEtv I am filled with goose bumps. Nigerians we should not miss dis opportunity to make our country great. Peter Obi is the only intelligent person among all the presidential candidates. #PeterObi4President2023 https://t.co/W46ltNd9nW
74,74,iamlalajoe,"I am Moved by my Believe and it's Evident in my Practice @Chelseafc
'One man one bullet'",Treasure Island,1553,2357,67938,611,"In 4months, Peter Obi has addressed Nigerians more than Buhari did in 8years as President. If you make Agbado your President, trust me, you won't see his shadow, or even a picture of him for the next 8years. Don't say you weren't warned."
75,75,moodacruiize,what is worth doing is worth doing well.,,7,2542,10014,2160,"my album drops friday, even if Drake, Kanye, Wizkid, Beyonce, Micheal Jackson, Rihanna, Davido, Vic O, Madonna, Justice league, Super man, Dr Strange,leanardo dicaprio, Lewis Hamilton,Valentino rossi, Peter Obi, Ecclesiastes, Socrates, spinall all decide to drop albums that day‼️ https://t.co/RIhvmQM98P"
76,76,onyeka_real,"Christian. Contrarian. 

We have a country to save. Reason I am supporting Peter Obi for president.","Canada, in Jesus' Name.",701,447,38278,57,"APC boys thought it is easy to quote statistics like PO until Shettima attempted it and ended up with historic lamba. Festus tried it and also ended up with senior lamba. You can't force what you don't know. Respect PO

Kenneth Okonkwo Wike Obaseki Kano Rufai Bashir Mr Peter Obi https://t.co/f2ck9HH2kw"
77,77,omalubasildom90,"Based on what's more important.
Self acclaimed goals #Ideologist #BarcaFC","Lagos, Nigeria",368,52,269,645,"Guys if you really want to know what is going on in Nigeria today, watch this video attentively. In the video they said ""what should be one of the richest,is the poorest"". Reason they make sure peter obi doesn't get there.

Be wise.

Rufai range rover abati Kenneth okonkwo NYSC https://t.co/SosksqOeMx"
78,78,Tonynonny,"A president// Humanitarian // political scientist// Content Creator//Businessman.
DM is open .",Africa,4488,2919,35991,627,"""I'm just happy with my wife"" see how Peter Obi smiled when he said it 😂😂😂"
79,79,GideonAkubueze,,,151,118,6700,0,"@vanguardngrnews Only a Tree hears ""I will cut you down"" still standing, if human hears that will immediately Run away, APC&amp;PDP should apologise to Nigerians for causing havoc against all for years as we match forward using our votes for Peter Obi to chest them out from power. Vote for Peter Obi"
80,80,Allstar_kenny,Forex Trader,The Guy Next Door,1754,934,30467,2160,"my album drops friday, even if Drake, Kanye, Wizkid, Beyonce, Micheal Jackson, Rihanna, Davido, Vic O, Madonna, Justice league, Super man, Dr Strange,leanardo dicaprio, Lewis Hamilton,Valentino rossi, Peter Obi, Ecclesiastes, Socrates, spinall all decide to drop albums that day‼️ https://t.co/RIhvmQM98P"
81,81,gamikaturah,lover of God/strong Gemini/ criminologist/ business consultant/ fabric merchant.,,1853,1089,17486,86,"Peter Obi : River Nile is 6650 kilometres long.

Rufai : Hold on I will fact check it

Rufai : Nile is actually 6650 kilometers long.

Peter Obi is a walking encyclopedia!"
82,82,victordaberechi,"A free man of Igbo extraction, believes in Humanity and Nature, Cryptocrazy! Questions everything. #Equality_Ambassador #Politician #African #Cryptomaniac
#GGMU","Owerri, Nigeria",1073,370,19564,696,"Why is Atiku Abubakar and Bola Ahmed Tinubu, sidestepping oil theft discourse? Are they part of the gangs stealing our oil? Why is it that Peter Obi is the only candidate talking about it at any given opportunity? What exactly is going on?"
83,83,izzytheicon,Host with the most . I am iconic🎤 Wizkid FC🦅 #ENDSARS @FCBarcelona @warriors #Dubnation @wizkidayo @oxladeofficial aPHRI ™️,"Victoria Island, Nigeria",2982,3568,191432,171,"@peterobi4eva Reuben doesn't understand that Peter's way of life won't allow him have extramarital affairs, when he calculate how much side chick go cost baba go redirect ½ to Mrs Obi use the other half buy laptops for school children in Katsina!"
84,84,BrainyTerna,Ask GOOGLE... #RumorHasIt that they know EVERYTHING... Except how I feel about YOU :D,Abuja,736,580,22292,350,"If you want a Nigeria where you or your child can get a federal appointment without having to bow down to an idol, then Peter Obi should be your candidate.

. Arise TV Kenneth Okonkwo Sabinus"
85,85,MichelleOkoye1,"Goshen-based Investment Banking Professional.

We are taking back our country.",Nigeria,1516,924,15945,129,"Columbus was mocked and laughed at, they laughed at Fulton, and also laughed at the Wright brothers. Yet these men pulled off the impossible.
Agbakanos were laughing at Peter Obi, now I don't see them laughing since reality checked in.
Peter Obi will also pull off the impossible."
86,86,de_eritage,,"New York, NY",1167,1220,4453,79,"Those who said Peter Obi did wonders in Anambra we shall expose the truth to Nigerians.

The truth is Obi was a complete failure Obiano did far better than Obi. https://t.co/QQaT5blPr7"
87,87,Wildernes_Exp,"I support @PeterObi & @LabourPartyNg please follow me back now to help this account grow, tech ideas and infos on cryptos and NFTs.","Owerri, Imo State.",1397,865,40639,50,"Guys have you watched this too 🔥: Here are things to take from here.

- His manifesto will be out, but he wants you to hear it from his own mouth (unlike the others)

- He wants to let you know...(THREAD)

Rufai peter obi reuben abati Kenneth okonkwo Go and verify seyi tinubu https://t.co/FrwgjMHJqB"
